date,duration,difficulty,score,result,player1Nickname,player2Nickname,player1Official,player2Official,winWithoutMistakes
2025-12-11,3:37,EASY,75,GIVE_UP,kbj,cfgn,,,false
2025-12-11,11:45,EASY,134,LOSE,fdv,sdd,,,false
2025-12-11,3:04,EASY,98,GIVE_UP,gsd,sf,,,false
2025-12-11,0:58,EASY,139,WIN,fghn,lok,,,false
2025-12-11,0:17,EASY,120,GIVE_UP,dfgcnj,mjhbz,,,false
2025-12-11,0:10,EASY,30,GIVE_UP,fdvc,nh,,,false
2025-12-11,0:05,EASY,53,GIVE_UP,bvc,mn,,,false
2025-12-11,0:21,EASY,62,GIVE_UP,fd,cgn,,,false
2025-12-12,0:17,EASY,114,GIVE_UP,zbz,bdxz,,,false
2025-12-12,3:13,EASY,0,GIVE_UP,vzv,VEzb,,,false
2025-12-12,0:03,EASY,0,GIVE_UP,hxnsr,ddd,,,false
2025-12-12,0:03,EASY,0,GIVE_UP,vth,yjnch,,,false
